month,plant,datetime,prev,curr,drop,drop_pct,year,month_str,ptf_tl_mwh,ptf_source,energy_lost_mwh,revenue_loss_tl,balancing_cost_tl,total_loss_tl,tl_usd_rate,total_loss_usd,yekdem_loss_usd
2024-12,KIYIKÖY RES,2024-12-21 19:00:00+00:00,71.85,9.86,61.989999999999995,86.27696590118302,2024,2024-12,2900,estimated,61.989999999999995,179770.99999999997,26965.649999999994,206736.64999999997,32.5,6361.127692307691,4525.2699999999995
2024-12,KOCATEPE RES(İzdem),2024-12-15 05:00:00+00:00,71.31,0.0,71.31,100.0,2024,2024-12,2900,estimated,71.31,206799.0,31019.85,237818.85,32.5,7317.503076923077,5205.63
2024-12,SÜLOĞLU RES,2024-12-29 09:00:00+00:00,58.96,1.23,57.73,97.91383989145184,2024,2024-12,2900,estimated,57.73,167417.0,25112.55,192529.55,32.5,5923.986153846154,4214.29
2024-12,SİLİVRİ RES,2024-12-03 05:00:00+00:00,59.21,0.0,59.21,100.0,2024,2024-12,2900,estimated,59.21,171709.0,25756.35,197465.35,32.5,6075.8569230769235,4322.33
2024-12,TAŞPINAR RES(GALATA WİND),2024-12-11 00:00:00+00:00,57.74,4.48,53.260000000000005,92.24108070661588,2024,2024-12,2900,estimated,53.260000000000005,154454.00000000003,23168.100000000002,177622.10000000003,32.5,5465.295384615386,3887.9800000000005
2024-12,TAŞPINAR RES(GALATA WİND),2024-12-19 23:00:00+00:00,63.0,0.0,63.0,100.0,2024,2024-12,2900,estimated,63.0,182700.0,27405.0,210105.0,32.5,6464.7692307692305,4599.0
2024-12,TAŞPINAR RES(GALATA WİND),2024-12-20 21:00:00+00:00,71.13,0.0,71.13,100.0,2024,2024-12,2900,estimated,71.13,206277.0,30941.55,237218.55,32.5,7299.032307692308,5192.49
2024-12,İSTANBUL RES,2024-12-21 11:00:00+00:00,55.64,1.47,54.17,97.35801581595976,2024,2024-12,2900,estimated,54.17,157093.0,23563.95,180656.95,32.5,5558.675384615385,3954.4100000000003
2025-01,EVRENCİK RES,2025-01-04 05:00:00+00:00,74.57,9.11,65.46,87.78329086764114,2025,2025-01,3100,estimated,65.46,202925.99999999997,30438.899999999994,233364.89999999997,36.0,6482.358333333333,4778.58
2025-01,KIYIKÖY RES,2025-01-09 11:00:00+00:00,56.91,8.24,48.669999999999995,85.52099806712351,2025,2025-01,3100,estimated,48.669999999999995,150876.99999999997,22631.549999999996,173508.54999999996,36.0,4819.681944444444,3552.9099999999994
2025-01,KIYIKÖY RES,2025-01-10 03:00:00+00:00,54.11,6.81,47.3,87.41452596562557,2025,2025-01,3100,estimated,47.3,146630.0,21994.5,168624.5,36.0,4684.013888888889,3452.8999999999996
2025-01,KIYIKÖY RES,2025-01-14 20:00:00+00:00,75.12,8.66,66.46000000000001,88.47177848775294,2025,2025-01,3100,estimated,66.46000000000001,206026.00000000003,30903.9,236929.90000000002,36.0,6581.386111111112,4851.580000000001
