month_str,n_events,energy_lost_mwh,revenue_loss_tl_M,total_loss_tl_M,total_loss_usd_K,avg_ptf_tl
2022-01,3,144.44,0.1578825837,0.18156497125499999,11.003937651818182,1088.6733333333334
2022-02,5,271.86,0.3517578299,0.40452150438500006,24.516454811212125,1298.718
2022-03,2,125.02,0.21815989999999996,0.250883885,15.205083939393939,1745.0
2022-04,6,405.56,0.9172695565,1.054859989975,63.93090848333333,2265.6150000000002
2022-05,8,548.1,1.2180203719,1.400723427685,84.89232895060606,2265.45125
2022-06,9,505.11,1.2865310602,1.4795107192299999,89.66731631696969,2517.061111111111
2022-07,7,421.24,1.0573163752,1.21591383148,73.69174736242424,2411.4485714285715
2022-08,7,418.90999999999997,1.4255816486,1.63941889589,99.3587209630303,3357.14
2022-09,3,195.36,0.7417921495,0.853060971925,51.70066496515152,3804.4300000000003
2022-10,2,97.52,0.3570434494,0.41059996681,24.884846473333333,3699.995
2022-11,2,140.74,0.5354033415999999,0.61571384284,37.315990475151516,3517.22
2023-01,4,227.98000000000002,0.751969489,0.8647649123499999,37.59847445,3301.005
2023-02,2,116.34,0.3954404416,0.45475650784,19.77202208,3365.995
2023-03,8,597.67,1.4287197939999998,1.6430277631,71.4359897,2341.6925
2023-04,7,444.86,0.7634378173999999,0.8779534900099998,38.17189087,1646.0142857142855
2023-05,3,152.79000000000002,0.23069998860000002,0.26530498689,11.53499943,1449.6599999999999
2023-06,12,727.04,1.4314916447,1.6462153914050004,71.57458223500001,1955.0991666666666
2023-07,4,232.26,0.5468157412000001,0.62883810238,27.340787060000004,2349.0275
2023-08,2,100.86,0.2397881586,0.27575638239000005,11.98940793,2398.8450000000003
2023-09,3,140.36,0.2713934164,0.31210242886,13.56967082,1901.323333333333
2023-10,1,84.82,0.18482193179999995,0.21254522156999997,9.24109659,2178.99
2023-11,12,933.3299999999999,2.0579237717,2.366612337455,102.89618858499999,1950.8741666666667
2023-12,3,157.91,0.3654447256,0.42026143444,18.27223628,2320.0033333333336
2024-01,25,1787.0,3.4504219471999997,3.96798523928,122.09185351630771,1933.7051999999999
2024-03,7,366.04,0.7638339198,0.87840900777,27.02796946984615,2094.6485714285714
2024-04,9,676.1,0.5738466914,0.6599236951099999,20.305344464923078,1087.12
2024-05,9,496.42,1.1871753876,1.3652516957399998,42.007744484307686,2388.4711111111114
2024-06,9,642.02,1.3659460821,1.5708379944150002,48.33347675123077,2210.7922222222223
2024-07,7,448.62,1.1189203527000002,1.2867584056049999,39.59256632630769,2727.5257142857145
2024-08,13,899.0600000000001,2.4632467554,2.83273376871,87.16103903723078,2807.147692307692
2024-09,2,141.64,0.3487457687,0.401057634005,12.340234892461536,2449.1949999999997
2024-10,5,279.33,0.6662320236,0.76616682714,23.574363912,2383.528
2024-11,2,127.08999999999999,0.20164090459999998,0.23188704028999998,7.1349858550769225,1612.49
2024-12,8,506.15999999999997,1.1326169951,1.3025095443649999,40.077216749692305,2235.3275
2025-01,4,270.62,0.7126398077999998,0.8195357789699999,22.764882749166667,2673.99
2025-03,24,1725.55,1.4898790650000002,1.7133609247500003,47.59335902083334,925.6783333333333
2025-04,10,565.25,1.5376124828,1.7682543552199999,49.118176533888885,2604.325
