datetime,plant_id,plant_name,gen_mw,prev_gen,drop,year,month_str,ptf_tl_mwh,ptf_fallback,ptf_source,energy_lost_mwh,revenue_loss_tl,balancing_cost_tl,total_loss_tl,tl_usd_rate,total_loss_usd,yekdem_loss_usd
2025-04-22 11:00:00+00:00,10442,YAHYALI RES(BAK),9.5,51.1,41.6,2025,2025-04,1800.0,2500.01,actual,41.6,74880.0,11232.0,86112.0,36.0,2392.0,3036.8
2022-05-14 23:00:00+00:00,10584,FATMA RES,8.58,62.15,53.57,2022,2022-05,1949.62,2347.5,actual,53.57,104441.1434,15666.17151,120107.31491,16.5,7279.231206666666,3910.61
2022-07-26 06:00:00+00:00,10584,FATMA RES,6.0,66.0,60.0,2022,2022-07,3000.01,2347.5,actual,60.0,180000.6,27000.09,207000.69,16.5,12545.496363636365,4380.0
2022-01-07 01:00:00+00:00,10902,AİRRES-4 RES,9.09,50.06,40.97,2022,2022-01,897.0,2347.5,actual,40.97,36750.09,5512.513499999999,42262.6035,16.5,2561.369909090909,2990.81
2023-04-04 03:00:00+00:00,10903,BERGRES RES,9.0,51.0,42.0,2023,2023-04,1499.99,2183.385,actual,42.0,62999.58,9449.937,72449.517,23.0,3149.9790000000003,3066.0
2024-05-23 13:00:00+00:00,10903,BERGRES RES,7.51,52.64,45.13,2024,2024-05,2450.0,2383.24,actual,45.13,110568.5,16585.274999999998,127153.775,32.5,3912.423846153846,3294.4900000000002
2025-03-16 08:00:00+00:00,10903,BERGRES RES,1.32,59.74,58.42,2025,2025-03,0.0,2500.01,actual,58.42,0.0,0.0,0.0,36.0,0.0,4264.66
2024-05-20 20:00:00+00:00,12164,ARDIÇLI RES(ES-YEL),4.32,59.7,55.38,2024,2024-05,1962.0,2383.24,actual,55.38,108655.56000000001,16298.334,124953.89400000001,32.5,3844.7352000000005,4042.7400000000002
2024-06-07 14:00:00+00:00,12164,ARDIÇLI RES(ES-YEL),9.73,57.06,47.33,2024,2024-06,2649.99,2383.24,actual,47.33,125424.02669999999,18813.604004999997,144237.630705,32.5,4438.08094476923,3455.0899999999997
2024-08-05 16:00:00+00:00,12164,ARDIÇLI RES(ES-YEL),6.97,53.45,46.480000000000004,2024,2024-08,3000.0,2383.24,actual,46.480000000000004,139440.0,20916.0,160356.0,32.5,4934.030769230769,3393.0400000000004
