year,n_events,energy_lost_mwh,total_loss_tl_M,total_loss_usd_K
2022,54,3273.86,9.506772006475,576.1680003924241
2023,61,3916.22,9.968138958690002,433.39734602999994
2024,96,6369.48,15.26352085243,469.64679545938463
2025,38,2561.42,4.3011510589399995,119.47641830388889
