month,n_events,total_loss_mw,max_loss_mw,mean_loss_mw,n_plants
2024-10,8,494.91,89.43,61.86375,6
2024-11,9,470.25,72.32,52.25,4
2024-12,15,969.89,120.7,64.65933333333334,10
2025-01,7,433.04999999999995,77.13,61.86428571428571,3
2025-02,1,46.9,46.9,46.9,1
2025-03,26,1855.5900000000001,109.11,71.36884615384616,20
2025-04,12,661.39,73.6,55.115833333333335,11
