tarih,saat,toplam(mwh),rüzgar(mwh),jeotermal(mwh),rezervuarlı(mwh),kanal tipi(mwh),nehir tipi(mwh),çöp gazı(mwh),biyogaz(mwh),güneş(mwh),biyokütle(mwh),diğer(mwh),datetime,production,prev_production,next_production,pct_change,drop_mw,drop_pct,recovery_1h,recovery_2h,recovery_3h,recovery_4h,recovery_5h,recovery_6h,hour,month
01.12.2025,17:00,"3.730,25",433.53,"978,18","1.151,10","193,88","2,10","82,91","1,01","10,24","874,02","3,28",2025-01-12,433.53,898.95,947.45,-51.77373602536293,465.4200000000001,51.77373602536293,947.45,860.82,766.18,883.88,984.63,,0,1
02.12.2025,19:00,"2.963,80",178.82,"1.001,12","594,22","246,58","3,64","81,25","0,83","0,00","854,04","3,30",2025-02-12,178.82,628.03,638.07,-71.52683788990973,449.21,71.52683788990973,638.07,256.7,590.49,665.56,268.11,264.45,0,2
02.12.2025,05:00,"2.566,43",256.7,"1.016,83","132,89","142,75","4,08","81,75","0,85","0,00","905,58","25,00",2025-02-12,256.7,638.07,590.49,-59.76930430830474,381.37000000000006,59.76930430830474,590.49,665.56,268.11,264.45,245.78,263.99,0,2
02.12.2025,01:00,"2.681,29",268.11,"1.010,79","193,65","214,68","2,10","78,42","0,82","0,00","887,41","25,31",2025-02-12,268.11,665.56,264.45,-59.71662960514453,397.44999999999993,59.71662960514453,264.45,245.78,263.99,315.81,268.27,246.12,0,2
