plant,datetime,prev,curr,drop,drop_pct
EBER RES,2024-10-22 19:00:00+03:00,61.72,0.0,61.72,100.0
EBER RES,2024-10-29 09:00:00+03:00,60.62,0.0,60.62,100.0
GÖKTEPE RES,2024-10-31 23:00:00+03:00,53.98,6.16,47.81999999999999,88.58836606150426
KANGAL RES,2024-10-18 04:00:00+03:00,89.43,0.0,89.43,100.0
KIYIKÖY RES,2024-10-10 22:00:00+03:00,70.98,5.91,65.07000000000001,91.67371090448016
KIYIKÖY RES,2024-10-18 06:00:00+03:00,70.13,9.05,61.08,87.0953942677884
TAŞPINAR RES(GALATA WİND),2024-10-29 21:00:00+03:00,56.28,0.0,56.28,100.0
İSTANBUL RES,2024-10-07 01:00:00+03:00,60.64,7.75,52.89,87.21965699208444
