month,plant,datetime,prev,curr,drop,drop_pct
2025-03,TAŞPINAR RES(GALATA WİND),2025-03-16 11:00:00+03:00,77.19,0.0,77.19,100.0
2025-03,VİZE-2 RES,2025-03-16 22:00:00+03:00,67.41,7.65,59.76,88.65153538050734
2025-03,ZONGULDAK RES,2025-03-16 11:00:00+03:00,74.49,0.63,73.86,99.1542488924688
2025-03,ÖMERLİ RES(BETİM),2025-03-28 15:00:00+03:00,68.23,4.26,63.970000000000006,93.7564121354243
2025-03,ÜÇPINAR RES,2025-03-16 11:00:00+03:00,87.0,0.0,87.0,100.0
2025-03,İSTANBUL RES,2025-03-16 11:00:00+03:00,108.79,0.0,108.79,100.0
2025-04,ATAKALE RES,2025-04-22 21:00:00+03:00,68.61,0.0,68.61,100.0
2025-04,ATAKALE RES,2025-04-25 18:00:00+03:00,56.96,6.6,50.36,88.4129213483146
2025-04,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),2025-04-24 02:00:00+03:00,64.82,6.69,58.129999999999995,89.67911138537488
2025-04,BOZÜYÜK RES,2025-04-10 20:00:00+03:00,73.6,0.0,73.6,100.0
2025-04,CERİT RES_(PAKMEM),2025-04-29 13:00:00+03:00,53.05,7.19,45.86,86.44674835061264
2025-04,DENİZLİ RES,2025-04-24 13:00:00+03:00,52.0,8.0,44.0,84.61538461538461
2025-04,EBER RES,2025-04-07 09:00:00+03:00,57.06,0.0,57.06,100.0
2025-04,KIYIKÖY RES,2025-04-02 06:00:00+03:00,54.1,9.74,44.36,81.99630314232903
2025-04,KUŞADASI RES,2025-04-30 18:00:00+03:00,58.78,6.25,52.53,89.36713167744131
2025-04,MASLAKTEPE RES(ENİ),2025-04-01 01:00:00+03:00,54.58,2.8,51.78,94.86991572004398
2025-04,MUTLU RES 5,2025-04-20 04:00:00+03:00,73.5,0.0,73.5,100.0
2025-04,YAHYALI RES(BAK),2025-04-22 14:00:00+03:00,51.1,9.5,41.6,81.40900195694715
