datetime,plant,ws100,ws10
2025-03-14 00:00:00,EVRENCIK,19.184364503274,5.7227423935554755
2025-03-14 01:00:00,EVRENCIK,19.09003441996788,4.2428457853705295
2025-03-14 02:00:00,EVRENCIK,22.174368222636254,4.2830648465987355
2025-03-14 03:00:00,EVRENCIK,22.075852984388604,2.5441300376581064
2025-03-14 04:00:00,EVRENCIK,20.05607211553145,1.8667029227647534
2025-03-14 05:00:00,EVRENCIK,17.801228073507605,2.2337489441661145
2025-03-14 06:00:00,EVRENCIK,15.245040235403506,3.0584690792468883
2025-03-14 07:00:00,EVRENCIK,13.890569346839046,4.65273812718283
2025-03-14 08:00:00,EVRENCIK,12.179818674932624,5.797853149173347
2025-03-14 09:00:00,EVRENCIK,9.656270758596378,6.249511479849565
2025-03-14 10:00:00,EVRENCIK,10.615702547431228,7.010002442745409
2025-03-14 11:00:00,EVRENCIK,11.421794934804092,7.586159073694812
2025-03-14 12:00:00,EVRENCIK,11.242368965757498,7.467239314282966
2025-03-14 13:00:00,EVRENCIK,11.052114197341327,7.331194880271498
2025-03-14 14:00:00,EVRENCIK,11.306178089648435,7.506215571471249
2025-03-14 15:00:00,EVRENCIK,13.883381400876997,5.89018141823959
2025-03-14 16:00:00,EVRENCIK,16.91976773794298,4.045667569697824
2025-03-14 17:00:00,EVRENCIK,17.874841451361462,4.487839521644362
2025-03-14 18:00:00,EVRENCIK,17.78390828622516,4.619856635642699
2025-03-14 19:00:00,EVRENCIK,17.186103191778862,3.737555551075288
2025-03-14 20:00:00,EVRENCIK,16.356845257812868,3.2519894769620956
2025-03-14 21:00:00,EVRENCIK,15.002827604781306,3.5408152934936967
2025-03-14 22:00:00,EVRENCIK,13.938465111316308,3.827490449922545
2025-03-14 23:00:00,EVRENCIK,13.897592015075906,4.137166280566318
2025-03-15 00:00:00,EVRENCIK,14.088227572123074,3.040958600215192
2025-03-15 01:00:00,EVRENCIK,13.705353712271583,2.03953915521185
2025-03-15 02:00:00,EVRENCIK,12.971293855549918,2.3651745901730714
2025-03-15 03:00:00,EVRENCIK,13.458660377541094,2.64328804979299
2025-03-15 04:00:00,EVRENCIK,13.87651576439552,2.7024581608652802
2025-03-15 05:00:00,EVRENCIK,14.534180320800338,2.66071150365239
2025-03-15 06:00:00,EVRENCIK,15.158989897929777,2.811807767225162
2025-03-15 07:00:00,EVRENCIK,15.593203654339156,3.5266029944653177
2025-03-15 08:00:00,EVRENCIK,16.125062856629317,4.887300104256391
2025-03-15 09:00:00,EVRENCIK,15.978975519462281,5.108075907767041
2025-03-15 10:00:00,EVRENCIK,12.223494715743419,6.537646128444505
2025-03-15 11:00:00,EVRENCIK,12.174657987698225,7.736669208126064
2025-03-15 12:00:00,EVRENCIK,11.510424847096871,7.471026866581411
2025-03-15 13:00:00,EVRENCIK,10.656558612507663,6.764366386468145
2025-03-15 14:00:00,EVRENCIK,9.96070835251152,5.53550254354535
2025-03-15 15:00:00,EVRENCIK,12.137599123122419,4.594202831617093
2025-03-15 16:00:00,EVRENCIK,13.347000816197435,4.534440506647223
2025-03-15 17:00:00,EVRENCIK,13.937692777145456,4.641288553981072
2025-03-15 18:00:00,EVRENCIK,14.40057348344063,4.598231504175906
2025-03-15 19:00:00,EVRENCIK,13.675055688647369,3.898947810062271
2025-03-15 20:00:00,EVRENCIK,13.006294676510157,2.9420544569365563
2025-03-15 21:00:00,EVRENCIK,12.79403687951871,2.2937099247454458
2025-03-15 22:00:00,EVRENCIK,13.210746869451999,1.7497606692143648
2025-03-15 23:00:00,EVRENCIK,13.82987263491591,1.9169460921372865
2025-03-16 00:00:00,EVRENCIK,14.28468574599615,2.067724912448132
2025-03-16 01:00:00,EVRENCIK,13.589235769836767,2.2371128473963915
2025-03-16 02:00:00,EVRENCIK,13.299256987347414,3.0659743456814805
2025-03-16 03:00:00,EVRENCIK,13.016392306302032,3.4499328731253804
2025-03-16 04:00:00,EVRENCIK,13.986834859467612,3.4407585244318915
2025-03-16 05:00:00,EVRENCIK,16.009690101469577,3.1725333001457847
2025-03-16 06:00:00,EVRENCIK,17.574277497719983,2.8737650009919156
2025-03-16 07:00:00,EVRENCIK,17.59044155860825,3.814045902286793
2025-03-16 08:00:00,EVRENCIK,17.894691797103555,4.375448166315851
2025-03-16 09:00:00,EVRENCIK,17.83322110648274,5.110216719390279
2025-03-16 10:00:00,EVRENCIK,14.953408846227713,8.125974399612803
2025-03-16 11:00:00,EVRENCIK,13.446165999016507,8.70115388728431
2025-03-16 12:00:00,EVRENCIK,13.46529350507043,8.8414343637681
2025-03-16 13:00:00,EVRENCIK,13.860355831924451,8.907430184322607
2025-03-16 14:00:00,EVRENCIK,15.660193636504657,7.93674368050914
2025-03-16 15:00:00,EVRENCIK,17.377016849297483,5.901506080277705
2025-03-16 16:00:00,EVRENCIK,19.224689962232823,4.121175765052162
2025-03-16 17:00:00,EVRENCIK,18.462379651172615,4.50995704959245
2025-03-16 18:00:00,EVRENCIK,16.67786503931577,3.6547549459567605
2025-03-16 19:00:00,EVRENCIK,14.985771074034695,3.525378063337238
2025-03-16 20:00:00,EVRENCIK,13.729382694088704,1.0053259125326903
2025-03-16 21:00:00,EVRENCIK,9.338818069295256,2.6608946885636255
