plant,datetime,prev,curr,drop,drop_pct
EVRENCİK RES,2025-01-04 08:00:00+03:00,74.57,9.11,65.46,87.78329086764114
KIYIKÖY RES,2025-01-09 14:00:00+03:00,56.91,8.24,48.669999999999995,85.52099806712351
KIYIKÖY RES,2025-01-10 06:00:00+03:00,54.11,6.81,47.3,87.41452596562557
KIYIKÖY RES,2025-01-14 23:00:00+03:00,75.12,8.66,66.46000000000001,88.47177848775294
SAROS RES,2025-01-26 07:00:00+03:00,62.53,0.0,62.53,100.0
SAROS RES,2025-01-28 09:00:00+03:00,65.5,0.0,65.5,100.0
SAROS RES,2025-01-28 14:00:00+03:00,77.13,0.0,77.13,100.0
