plant,datetime,prev,curr,drop,drop_pct
EVRENCİK RES,2024-11-23 07:00:00+03:00,59.76,4.99,54.77,91.64993306559572
KIYIKÖY RES,2024-11-10 23:00:00+03:00,52.56,6.96,45.6,86.7579908675799
KIYIKÖY RES,2024-11-11 23:00:00+03:00,55.26,7.76,47.5,85.95729279768368
KIYIKÖY RES,2024-11-12 06:00:00+03:00,65.31,8.25,57.06,87.36793752870923
KIYIKÖY RES,2024-11-16 22:00:00+03:00,54.17,7.59,46.58,85.9885545504892
KIYIKÖY RES,2024-11-21 16:00:00+03:00,60.27,5.32,54.95,91.17305458768872
KIYIKÖY RES,2024-11-30 15:00:00+03:00,51.79,9.41,42.379999999999995,81.83046920254876
SİLİVRİ RES,2024-11-24 08:00:00+03:00,55.2,6.11,49.09,88.93115942028984
TAŞPINAR RES(GALATA WİND),2024-11-24 06:00:00+03:00,72.32,0.0,72.32,100.0
