y_true,y_prob
0,0.3610321
0,0.3410209
0,0.38585138
0,0.27308226
1,0.4962365
0,0.3541405
1,0.37728715
0,0.38554785
0,0.40270147
1,0.43035135
1,0.38381267
0,0.28187785
0,0.4090909
0,0.5152887
1,0.39442515
1,0.3754052
0,0.32007238
0,0.42270723
0,0.467516
0,0.40217662
1,0.38515985
1,0.37621966
1,0.43363652
0,0.39382225
0,0.36651617
0,0.47195822
0,0.2836697
0,0.40391937
0,0.48346797
0,0.41056496
0,0.3848009
0,0.43186256
0,0.32874665
0,0.4535741
0,0.44193786
1,0.5174036
1,0.29302832
0,0.5365682
0,0.49084616
0,0.27423134
0,0.42146516
0,0.3842436
0,0.36522585
0,0.5304644
0,0.4283807
0,0.3843791
0,0.40022045
0,0.4625966
0,0.48185676
0,0.38100863
0,0.37992615
0,0.545894
1,0.38619635
0,0.4892734
0,0.3993724
0,0.46245623
0,0.34500974
0,0.36207443
0,0.2778779
1,0.5365395
1,0.46497107
1,0.4493319
0,0.5103059
0,0.2562943
0,0.418795
0,0.55075973
0,0.3236893
0,0.52691114
0,0.36223748
0,0.36302665
1,0.40735328
0,0.28955707
1,0.4248734
1,0.43912598
1,0.40691152
0,0.3446594
0,0.42506066
0,0.4167282
0,0.36439785
0,0.426198
0,0.39402774
0,0.4951192
0,0.37656447
0,0.26795462
0,0.44715175
0,0.4681473
0,0.412047
0,0.46135405
0,0.41214713
0,0.3752246
0,0.5159883
0,0.33166927
0,0.32105175
0,0.4649732
0,0.41888
0,0.5270476
0,0.25386345
0,0.37504187
0,0.26663825
0,0.46165603
1,0.3108545
0,0.34509352
0,0.36863688
0,0.42178243
0,0.31720468
1,0.49187654
0,0.39200363
0,0.4537755
0,0.45496455
0,0.34097138
0,0.37751812
0,0.349827
1,0.44374177
0,0.34967208
0,0.3285111
0,0.34619185
0,0.3341694
0,0.31111443
1,0.3637766
0,0.4343732
0,0.3267171
0,0.4930216
0,0.45273298
0,0.55271524
0,0.37303725
0,0.39822975
0,0.37711358
0,0.44324452
1,0.40876475
0,0.5811017
0,0.33568925
0,0.34038436
1,0.43893152
0,0.4015621
0,0.528334
0,0.34979296
1,0.27154672
0,0.47217563
0,0.3544457
0,0.33894056
0,0.34724936
0,0.43021724
1,0.3067641
0,0.43281308
0,0.34496456
0,0.46327442
0,0.38642493
0,0.3252198
