,0
is_winter,0.07079251
gen_min,0.061437704
gen_delta_max_rise,0.05576257
gen_delta_std,0.049439676
gen_last,0.04912211
gen_last_6h_mean,0.047767475
gen_delta_max_drop,0.04775878
gen_trend_r2,0.0460756
gen_max,0.044921096
above50_streak_max,0.043890674
is_spring,0.042475212
gen_last_6h_std,0.04132897
month_end,0.04092375
gen_delta_mean,0.039709873
gen_trend,0.037805855
gen_cv,0.037547715
high_gen_frac,0.036753133
gen_mean,0.036464904
gen_std,0.035510868
gen_first,0.035447124
gen_last_vs_mean,0.03416043
hour_end,0.033827
plant_hist_rate,0.031076897
