y_true,y_prob
0,0.45154908
0,0.39179316
0,0.43750262
0,0.34647313
1,0.38452142
0,0.42204246
1,0.49686855
0,0.44265556
0,0.363882
1,0.41424194
1,0.3903166
0,0.30112305
0,0.43073627
0,0.46081156
1,0.4329372
1,0.38126785
0,0.407071
0,0.4117565
0,0.36055514
0,0.42091694
1,0.4044499
1,0.454738
1,0.5748905
0,0.4431125
0,0.44155747
0,0.39986446
0,0.35371932
0,0.42271882
0,0.3853661
0,0.42817962
0,0.42258635
0,0.41590837
0,0.4081156
0,0.40011624
0,0.41023546
1,0.4967111
1,0.42792803
0,0.5060615
0,0.48681596
0,0.4041298
0,0.52336633
0,0.44772425
0,0.45858282
0,0.5040643
0,0.4084626
0,0.5023757
0,0.48220867
0,0.47427788
0,0.4705842
0,0.3279497
0,0.46140414
0,0.43588507
1,0.4184296
0,0.4955891
0,0.4175599
0,0.56038517
0,0.4291302
0,0.37460777
0,0.40288892
1,0.507769
1,0.4051662
1,0.47746477
0,0.36918014
0,0.37290287
0,0.44292754
0,0.44524527
0,0.44587347
0,0.5048527
0,0.43227795
0,0.33854458
1,0.4916572
0,0.2997347
1,0.42581472
1,0.47501397
1,0.4474508
0,0.45699742
0,0.51294017
0,0.5055639
0,0.4155162
0,0.43523592
0,0.471855
0,0.47386637
0,0.5179705
0,0.42009237
0,0.4115834
0,0.5360011
0,0.52546483
0,0.5600074
0,0.38107282
0,0.39053735
0,0.42000508
0,0.48352492
0,0.46472296
0,0.43109325
0,0.48025224
0,0.44358587
0,0.38490438
0,0.48375088
0,0.4386403
0,0.5132648
1,0.3695559
0,0.4309186
0,0.41495818
0,0.5170711
0,0.4115406
1,0.49811587
0,0.5475452
0,0.3830528
0,0.41717738
0,0.42072523
0,0.47345924
0,0.43294433
1,0.5185212
0,0.39843002
0,0.48134196
0,0.4403849
0,0.37325376
0,0.44768763
1,0.46647227
0,0.49051437
0,0.40036693
0,0.5035165
0,0.5057047
0,0.49752903
0,0.46242696
0,0.42688447
0,0.37258857
0,0.45720226
1,0.47035655
0,0.52329355
0,0.40396926
0,0.32704872
1,0.521523
0,0.43162325
0,0.43514356
0,0.3470574
1,0.45264915
0,0.43036994
0,0.46214792
0,0.48306715
0,0.43740568
0,0.42689732
1,0.4519596
0,0.38223353
0,0.39314437
0,0.51244766
0,0.40692762
0,0.34959048
