,0
is_winter,0.0728799
gen_std,0.048771992
gen_delta_max_drop,0.048453305
gen_min,0.04786688
gen_delta_mean,0.047416013
gen_cv,0.04722034
gen_last,0.04634234
gen_trend,0.04618193
gen_last_6h_std,0.04553294
gen_first,0.04534512
gen_last_6h_mean,0.04425056
above50_streak_max,0.043493286
gen_delta_max_rise,0.042971272
high_gen_frac,0.042551685
gen_last_vs_mean,0.04181592
gen_max,0.041215397
hour_end,0.04049961
gen_trend_r2,0.040326916
month_end,0.03920925
gen_mean,0.036905166
plant_hist_rate,0.03334725
gen_delta_std,0.032121297
is_spring,0.025281651
